created Logger
gfxInitDefault()
initializing Console
getting font string
Creating Graphics object
Creating Input object
Initializing global api
initialized console
Loading cart
Calling Cart Constructor
getting file contents
Got file contents... parsing cart
Copying data to spritesheet
Copying data to sprite flags
Copying data to sprite flags
Cart Loaded
Starting main loop
block name: startup ms: 1421366.960333
block name: PreUpdate ms: 37.163198
block name: ClearFb ms: 32.936783
block name: SetInputState ms: 32.302137
block name: CallLuaUpdate ms: 34.692103
block name: CallLuaDraw ms: 73.133625
block name: GetFb ms: 32.115984
block name: GraphicsFlip ms: 32.924385
block name: gfxFlushBuffers ms: 32.455379
block name: gfxSwapBuffers ms: 41.835703
block name: gspWaitForVBlank ms: 43.613648
block name: PostFlip ms: 31.654266
block name: PreUpdate ms: 46.517167
block name: ClearFb ms: 32.715636
block name: SetInputState ms: 31.996452
block name: CallLuaUpdate ms: 32.223692
block name: CallLuaDraw ms: 72.308947
block name: GetFb ms: 32.104876
block name: GraphicsFlip ms: 35.975209
block name: gfxFlushBuffers ms: 32.867379
block name: gfxSwapBuffers ms: 32.183120
block name: gspWaitForVBlank ms: 37.336447
block name: PostFlip ms: 33.164151
block name: PreUpdate ms: 37.158842
block name: ClearFb ms: 32.881828
block name: SetInputState ms: 41.199372
block name: CallLuaUpdate ms: 32.177406
block name: CallLuaDraw ms: 73.145919
block name: GetFb ms: 31.894860
block name: GraphicsFlip ms: 42.993078
block name: gfxFlushBuffers ms: 32.082901
block name: gfxSwapBuffers ms: 34.960177
block name: gspWaitForVBlank ms: 42.885452
block name: PostFlip ms: 31.888124
block name: PreUpdate ms: 37.100940
block name: ClearFb ms: 32.700971
block name: SetInputState ms: 32.317153
block name: CallLuaUpdate ms: 32.857674
block name: CallLuaDraw ms: 74.994498
block name: GetFb ms: 31.732122
block name: GraphicsFlip ms: 33.246310
block name: gfxFlushBuffers ms: 31.915657
block name: gfxSwapBuffers ms: 38.374036
block name: gspWaitForVBlank ms: 40.700848
block name: PostFlip ms: 35.036131
block name: PreUpdate ms: 47.190103
block name: ClearFb ms: 32.923975
block name: SetInputState ms: 31.679375
block name: CallLuaUpdate ms: 32.366722
block name: CallLuaDraw ms: 73.238596
block name: GetFb ms: 31.796923
block name: GraphicsFlip ms: 33.006120
block name: gfxFlushBuffers ms: 31.957990
block name: gfxSwapBuffers ms: 31.825068
block name: gspWaitForVBlank ms: 36.804683
block name: PostFlip ms: 31.953007
block name: PreUpdate ms: 37.171829
block name: ClearFb ms: 32.187693
block name: SetInputState ms: 34.563485
block name: CallLuaUpdate ms: 38.720130
block name: CallLuaDraw ms: 74.274254
block name: GetFb ms: 31.830879
block name: GraphicsFlip ms: 42.822217
block name: gfxFlushBuffers ms: 32.218478
block name: gfxSwapBuffers ms: 33.031818
block name: gspWaitForVBlank ms: 45.781079
block name: PostFlip ms: 31.966352
block name: PreUpdate ms: 36.642557
block name: ClearFb ms: 32.623369
block name: SetInputState ms: 31.523723
